X.1,X.2,X.3,STANDARD,X.4,X.5,X.6,1/2 PPR,X.7,X.8,X.9,FULL PPR,X.10
Player,null,Current Value,Previous Value,Change,null,Current Value,Previous Value,Change,null,Current Value,Previous Value,Change
Davante Adams,null,32,32,—,null,35,35,—,null,37,37,—
Tyreek Hill,null,32,32,—,null,35,35,—,null,37,37,—
Stefon Diggs,null,31,31,—,null,34,34,—,null,36,36,—
DeAndre Hopkins,null,31,31,—,null,34,34,—,null,36,36,—
Justin Jefferson,null,28,25,3,null,31,28,3,null,33,30,3
Calvin Ridley,null,28,31,-3,null,31,34,-3,null,33,36,-3
Cooper Kupp,null,25,20,5,null,28,23,5,null,30,25,5
Keenan Allen,null,25,22,3,null,28,25,3,null,30,27,3
CeeDee Lamb,null,22,21,1,null,25,24,1,null,27,26,1
Tyler Lockett,null,22,18,4,null,25,21,4,null,27,23,4
A.J. Brown,null,22,25,-3,null,25,28,-3,null,27,30,-3
D.K. Metcalf,null,22,25,-3,null,25,28,-3,null,27,30,-3
Terry McLaurin,null,20,20,—,null,23,23,—,null,25,25,—
Chris Godwin,null,18,18,—,null,21,21,—,null,23,23,—
D.J. Moore,null,18,17,1,null,21,20,1,null,23,22,1
Amari Cooper,null,18,22,-4,null,21,25,-4,null,23,27,-4
Allen Robinson II,null,18,22,-4,null,21,25,-4,null,23,27,-4
Adam Thielen,null,17,16,1,null,19,18,1,null,21,20,1
Julio Jones,null,17,16,1,null,20,19,1,null,22,21,1
Mike Evans,null,16,16,—,null,18,18,—,null,20,20,—
Tee Higgins,null,16,16,—,null,19,19,—,null,21,21,—
Robert Woods,null,16,17,-1,null,19,20,-1,null,21,22,-1
Diontae Johnson,null,16,17,-1,null,19,20,-1,null,21,22,-1
Ja'Marr Chase,null,16,16,—,null,18,18,—,null,20,20,—
Mike Williams,null,14,7,7,null,16,9,7,null,18,11,7
Courtland Sutton,null,13,10,3,null,15,12,3,null,17,14,3
Deebo Samuel,null,12,12,—,null,14,14,—,null,16,16,—
DeVonta Smith,null,12,13,-1,null,14,15,-1,null,16,17,-1
Antonio Brown,null,12,14,-2,null,14,16,-2,null,16,18,-2
Corey Davis,null,11,11,—,null,13,13,—,null,15,15,—
Brandin Cooks,null,11,11,—,null,13,13,—,null,15,15,—
Chase Claypool,null,10,11,-1,null,12,13,-1,null,14,15,-1
Jaylen Waddle,null,9,9,—,null,11,11,—,null,13,13,—
Tyler Boyd,null,8,7,1,null,10,9,1,null,12,11,1
Marquise Brown,null,8,4,4,null,10,6,4,null,11,7,4
JuJu Smith-Schuster,null,7,6,1,null,9,8,1,null,11,10,1
Kenny Golladay,null,6,6,—,null,8,8,—,null,10,10,—
Marvin Jones Jr.,null,6,5,1,null,8,7,1,null,9,8,1
Robby Anderson,null,6,7,-1,null,8,9,-1,null,10,11,-1
Odell Beckham Jr.,null,6,6,—,null,8,8,—,null,9,9,—
Sterling Shepard,null,6,N/A,6,null,8,N/A,8,null,10,N/A,10
Rondale Moore,null,5,N/A,5,null,7,N/A,7,null,8,N/A,8
Jakobi Meyers,null,4,3,1,null,6,5,1,null,7,6,1
Michael Pittman Jr.,null,4,3,1,null,6,5,1,null,7,6,1
D.J. Chark Jr.,null,4,5,-1,null,6,7,-1,null,7,8,-1
Will Fuller V,null,3,6,-3,null,5,8,-3,null,6,10,-4
Tim Patrick,null,3,4,-1,null,6,6,—,null,6,7,-1
